景點名稱,區域,經度,緯度,第⼀張圖檔網址
新北投溫泉區,北投區,121.508447,25.137077,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C1/D28/E891/F188/77a58890-7711-4ca2-aebe-4aa379726575.JPG
陽明山溫泉區,北投區,121.547742,25.15579,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000987.jpg
大安森林公園,大安區,121.5362,25.0296,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D17/E672/F642/f4201ef7-2137-447c-b832-c1d699142675.jpg
南港山系-象山親山步道,信義區,121.571970,25.023757,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C1/D159/E22/F531/39d4d623-1a7b-40fd-95d7-4260702ea36e.jpg
梅庭,北投區,121.508682,25.137025,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11003388.jpg
琉園水晶博物館(暫時休館),北投區,121.468942,25.127255,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000815.jpg
長榮海事博物館,中正區,121.518770,25.038728,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11002525.jpg
袖珍博物館,中山區,121.536287,25.050375,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000764.jpg
陽明山國家公園,士林區,121.547742,25.15579,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11003996.jpg
碧湖公園,內湖區,121.581244,25.082220,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D521/E582/F322/18fd42af-1186-4217-b05d-366d162ca4b0.jpg
基隆河左、右岸親水,士林區,121.530239,25.071668,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000842.jpg
大湖公園,內湖區,121.60231,25.08282,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11002931.jpg
臺北忠烈祠,中山區,121.5330,25.0788,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000793.jpg
關渡碼頭-甘豆門,北投區,121.461523,25.122507,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000854.jpg
社子島環島與二重疏洪道自行車道,士林區,121.503137,25.08952,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D28/E492/F539/c008d311-b347-4b26-9bae-e97f02614580.jpg
台北當代藝術館,大同區,121.51892,25.05072,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000737.jpg
行天宮北投分宮-忠義廟,北投區,121.47744,25.13748,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11002397.jpg
景美溪左、右岸自行車道,文山區,121.587451,25.0029,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000845.jpg
國立歷史博物館,中正區,121.51121,25.03161,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000727.jpg
冷水坑溫泉區,士林區,121.56286,25.16791,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000986.jpg
松山慈祐宮,松山區,121.57774,25.05103,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D127/E533/F287/eb3c4e09-e0e6-4cef-ab3f-39acd739919f.JPG
關渡宮,北投區,121.464010,25.117655,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000949.jpg
內溝溪景觀生態步道,內湖區,121.62398,25.08037,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11003132.jpg
二二八和平公園,中正區,121.515468,25.040363,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000790.jpg
國立臺灣科學教育館,士林區,121.5159,25.0959,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000731.jpg
臺北啤酒工廠(原建國啤酒廠),中山區,121.535389,25.046111,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D174/E397/F569/2eb6ed71-8218-49b9-8d15-19c07f54ad1f.jpg
松山文創園區,信義區,121.560437,25.043303,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D32/E446/F891/11ee0f0b-3cc0-4fa0-9dc7-8bbb137d1075.JPG
雙溪生活水岸,士林區,121.523704,25.098516,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11002568.jpg
陽明山中山樓,北投區,121.552772,25.155623,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11003129.jpg
華中河濱公園,萬華區,121.494840,25.015403,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D9/E366/F347/b49bae58-e9b5-42b4-a210-11da279654ce.JPG
